K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
533;Bätterkinden;3171.0;245;9;15;;19.89;18.79;18.66;14.93;12.14;9.15;8.52;9.18;8.03;6.20
682;Bévilard;1681.0;241;15;18;;63.59;57.68;62.47;56.81;62.12;55.90;52.83;70.19;75.90;89.47
572;Bönigen;2447.0;250;11;7;;7.20;11.54;9.75;7.52;6.22;9.78;12.11;12.84;17.53;13.54
382;Büetigen;827.0;243;5;15;;20.20;14.78;20.39;18.35;17.90;10.84;9.51;9.53;10.49;5.51
734;Bühl;419.0;243;16;16;;36.10;24.79;23.73;23.53;22.38;24.24;17.89;34.67;24.98;16.62
383;Büren a.A.;3295.0;243;5;17;;34.53;19.50;17.87;27.30;17.76;20.56;16.88;15.75;16.02;16.84
534;Büren z.H.;468.0;246;9;15;;4.91;32.57;35.67;22.82;19.16;18.60;18.08;17.77;16.53;19.71
683;Champoz;162.0;241;15;21;;17.21;28.07;16.45;17.53;13.88;8.32;15.37;23.39;7.22;8.54
684;Châtelat;113.0;241;15;21;;1.39;6.38;8.70;22.99;57.60;32.24;5.44;11.05;9.13;5.66
661;Clavaleyres;49.0;246;14;21;;9.22;9.72;8.71;17.27;11.24;13.95;10.09;10.76;14.98;16.45
687;Corcelles;214.0;241;15;15;;96.25;122.80;96.33;82.93;94.69;80.06;71.93;73.07;79.80;69.29
431;Corgémont;1551.0;241;7;18;;32.64;30.31;30.08;23.09;34.73;20.46;13.26;15.79;19.04;12.30
432;Cormoret;495.0;241;7;15;;106.92;98.33;133.68;90.71;90.38;76.45;59.93;58.36;48.55;48.01
433;Cortébert;697.0;241;7;15;;40.53;29.69;53.45;48.60;42.35;42.12;45.39;61.14;66.48;64.90
690;Court;1390.0;241;15;18;;48.74;50.93;62.21;52.75;42.86;40.33;33.73;32.68;36.16;31.57
434;Courtelary;1283.0;241;7;18;;61.59;60.59;56.23;45.75;48.11;43.29;37.45;32.24;33.68;34.66
691;Crémines;550.0;241;15;18;;97.63;100.57;82.20;75.61;61.92;67.34;59.36;65.83;78.89;70.88
535;Deisswil b.M.;97.0;246;9;15;;1.05;0.14;3.38;0.21;5.26;4.90;4.16;0.37;1.68;12.62
536;Diemerswil;199.0;246;9;11;351;15.75;14.58;15.66;7.99;2.73;2.22;2.94;3.08;1.47;2.42
762;Diemtigen;2140.0;249;17;21;;53.52;44.51;42.88;50.51;86.13;100.24;90.38;74.65;81.60;76.80
385;Diessbach b.B.;923.0;243;5;15;;48.64;54.28;55.31;46.70;42.89;30.35;30.12;29.24;17.83;20.79
721;Diesse;443.0;241;13;17;;122.29;107.35;72.64;73.24;79.55;78.74;67.90;61.13;60.76;48.46
386;Dotzigen;1358.0;243;5;15;;44.67;43.69;49.47;35.46;31.80;23.54;18.16;17.16;12.83;12.97
575;Därligen;416.0;250;11;15;;33.13;18.78;45.06;144.30;41.82;39.86;39.25;27.46;18.32;16.79
761;Därstetten;833.0;249;17;19;;34.37;54.91;34.85;28.97;22.67;24.71;17.73;17.10;18.52;19.37
952;Dürrenroth;1064.0;245;25;21;;48.96;53.05;81.33;61.86;43.00;40.49;43.44;40.54;17.39;20.68
901;Eggiwil;2453.0;245;23;21;;93.40;102.14;87.76;90.54;75.41;72.62;62.83;52.27;47.78;50.44
864;Englisberg;0.0;246;22;8;;33.39;25.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;185.94;139.33;104.32;89.51;62.43;57.10;46.23;49.83;49.32;40.16
953;Eriswil;1347.0;244;25;19;;16.74;51.48;91.30;77.44;62.21;19.56;21.69;24.61;21.68;19.28
924;Eriz;496.0;247;24;21;;49.53;69.55;141.73;109.94;69.44;58.19;54.80;58.63;66.05;58.21
492;Erlach;1278.0;243;8;17;;110.86;105.61;125.54;105.19;102.64;115.67;114.48;94.78;81.98;96.74
763;Erlenbach i.S.;1695.0;249;17;20;;63.97;59.24;53.25;44.40;48.38;28.44;20.97;15.32;15.57;12.19
405;Ersigen;1589.0;245;6;19;;43.78;37.86;47.08;34.45;34.42;28.18;27.76;29.10;25.04;25.64
692;Eschert;377.0;241;15;19;;54.00;57.25;61.15;57.20;48.82;34.42;40.73;36.52;36.58;38.55
537;Etzelkofen;289.0;246;9;18;;8.46;6.22;5.93;3.51;3.84;5.57;4.94;5.00;5.91;4.92
372;Evilard;2424.0;242;4;5;371;19.47;14.99;19.49;20.16;11.23;10.21;9.21;14.93;8.71;6.75
925;Fahrni;741.0;247;24;20;;43.83;52.02;39.62;36.35;22.97;17.22;17.89;15.83;12.90;15.94
975;Farnern;209.0;244;26;15;;24.07;9.62;8.52;9.24;6.47;6.80;8.49;8.86;6.10;7.12
662;Ferenbalm;1270.0;246;14;15;;17.40;37.86;34.34;32.73;29.72;32.19;28.86;6.82;6.78;7.82
