K5 BVA Bruttoverschuldungsanteil;;;;;;;;;
Die Bruttoschulden (inkl. Sonderrechnungen) werden in Prozent des Finanzertrages dargestellt.
Damit wird die Verschuldungssituation ersichtlich. Die Verschuldung wird als kritisch eingestuft,
wenn die Schwelle von 200 % überschritten wird.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
325;Busswil b.M.;201.0;244;2;20;;4.4;4.1;4.0;7.6;4.6;9.0;9.5;14.8;15.4;13.2
403;Bäriswil;1005.0;246;6;11;351;118.9;86.1;88.7;90.1;109.4;91.3;74.8;45.9;61.7;65.8
533;Bätterkinden;3171.0;245;9;15;;34.9;33.6;41.1;35.8;23.4;22.4;20.4;20.2;19.1;9.6
682;Bévilard;1681.0;241;15;18;;142.8;145.0;116.6;154.1;108.6;114.8;114.8;229.5;168.2;171.2
572;Bönigen;2447.0;250;11;7;;5.2;18.4;15.2;4.4;3.5;3.3;20.2;28.9;27.4;25.0
382;Büetigen;827.0;243;5;15;;27.9;26.7;29.1;35.8;20.7;3.8;3.6;4.3;5.0;5.1
734;Bühl;419.0;243;16;16;;86.5;58.8;56.1;57.3;51.9;59.0;49.3;104.8;63.0;42.0
383;Büren a.A.;3295.0;243;5;17;;78.0;46.2;46.5;60.2;28.2;31.2;29.4;20.7;25.2;29.3
534;Büren z.H.;468.0;246;9;15;;3.6;84.1;99.2;48.9;42.5;50.6;44.4;42.2;42.8;50.9
683;Champoz;162.0;241;15;21;;21.1;21.1;14.0;14.6;12.5;9.4;8.7;7.4;4.6;7.8
684;Châtelat;113.0;241;15;21;;2.3;2.7;2.8;29.0;82.6;38.2;0.00;0.00;0.00;0.00
661;Clavaleyres;49.0;246;14;21;;4.2;4.2;4.5;5.9;4.7;4.4;3.2;4.6;3.4;3.9
687;Corcelles;214.0;241;15;15;;178.7;232.3;165.7;154.8;167.5;147.7;142.5;138.4;130.1;130.4
431;Corgémont;1551.0;241;7;18;;47.7;43.2;41.1;25.8;36.7;29.4;31.3;37.0;39.1;31.5
432;Cormoret;495.0;241;7;15;;158.8;161.4;184.2;144.2;159.4;137.6;120.0;112.2;97.8;93.3
433;Cortébert;697.0;241;7;15;;71.3;53.4;74.3;75.9;69.5;73.9;73.5;118.3;117.6;117.4
690;Court;1390.0;241;15;18;;150.8;149.7;146.7;137.7;128.7;120.7;101.7;98.8;100.0;92.6
434;Courtelary;1283.0;241;7;18;;131.8;124.4;96.6;87.5;102.0;84.6;70.5;68.9;75.2;72.2
691;Crémines;550.0;241;15;18;;208.2;196.4;171.3;156.2;141.4;138.8;143.6;151.9;164.6;152.4
535;Deisswil b.M.;97.0;246;9;15;;0.00;0.00;0.00;0.00;23.8;21.2;18.2;0.00;0.00;0.00
536;Diemerswil;199.0;246;9;11;351;37.3;31.9;40.3;13.7;0.00;0.00;0.00;0.00;0.00;0.00
762;Diemtigen;2140.0;249;17;21;;25.8;24.7;23.2;35.2;74.7;113.9;96.6;71.3;56.6;62.5
385;Diessbach b.B.;923.0;243;5;15;;114.4;117.5;108.8;97.6;94.3;59.1;54.0;49.3;24.8;27.9
721;Diesse;443.0;241;13;17;;173.4;154.6;127.0;119.7;117.5;112.5;111.4;100.1;67.4;70.0
386;Dotzigen;1358.0;243;5;15;;86.2;93.0;85.4;79.6;54.8;37.2;29.8;30.7;19.1;18.6
575;Därligen;416.0;250;11;15;;83.8;53.3;95.0;138.8;108.0;73.2;66.0;54.6;37.4;33.3
761;Därstetten;833.0;249;17;19;;55.8;63.7;49.8;48.1;41.8;47.3;33.2;32.3;33.0;34.5
952;Dürrenroth;1064.0;245;25;21;;46.6;47.8;78.8;65.4;22.9;53.8;53.8;50.7;7.8;7.3
901;Eggiwil;2453.0;245;23;21;;112.5;109.0;102.0;107.9;92.8;94.2;72.6;59.9;51.0;61.6
864;Englisberg;0.0;246;22;8;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;200.0;187.6;143.4;154.5;126.4;95.0;107.6;109.8;114.0;89.1
953;Eriswil;1347.0;244;25;19;;11.7;45.0;82.4;72.5;34.4;12.8;16.0;13.8;17.0;13.0
924;Eriz;496.0;247;24;21;;53.9;40.8;186.1;143.8;66.7;72.8;72.1;56.0;63.8;61.6
492;Erlach;1278.0;243;8;17;;169.8;167.5;169.6;105.0;96.5;106.0;109.2;95.4;87.8;87.2
763;Erlenbach i.S.;1695.0;249;17;20;;97.4;105.2;99.7;76.5;75.8;51.7;38.8;28.8;29.7;21.4
405;Ersigen;1589.0;245;6;19;;103.8;95.3;102.7;87.0;85.3;59.0;62.7;61.6;56.8;58.3
692;Eschert;377.0;241;15;19;;156.8;157.7;160.4;150.0;128.1;92.7;111.0;93.0;88.4;90.5
537;Etzelkofen;289.0;246;9;18;;1.4;1.1;1.1;1.2;1.2;1.2;1.1;1.3;1.5;2.2
372;Evilard;2424.0;242;4;5;371;27.6;9.8;33.7;34.2;26.6;17.6;18.6;19.3;16.7;9.5
925;Fahrni;741.0;247;24;20;;83.8;97.1;79.8;70.7;43.4;34.8;32.8;28.4;18.2;16.0
975;Farnern;209.0;244;26;15;;48.0;14.9;9.8;11.1;9.9;7.7;11.6;13.0;10.2;11.0
662;Ferenbalm;1270.0;246;14;15;;48.5;25.1;40.6;29.3;26.7;26.8;24.0;16.5;14.3;16.0
493;Finsterhennen;501.0;243;8;20;;84.8;90.7;150.2;160.0;161.4;128.2;124.3;111.2;126.6;124.2
926;Forst;0.0;247;24;15;;8.4;11.1;2.7;17.9;17.7;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;21.2;19.4;16.4;11.7;12.5
538;Fraubrunnen;1791.0;246;9;11;351;84.3;77.4;56.9;47.5;47.7;58.4;54.0;38.4;90.0;98.7
663;Frauenkappelen;1256.0;246;14;11;351;59.4;56.1;53.3;55.0;60.6;45.7;62.7;54.8;53.7;36.2
