K41 BRPE Bereinigtes Rechnungsergebnis / Einwohner;;;;;;;;;
Kurzbeschrieb: Ertrag Laufende Rechnung minus Aufwand Laufende Rechnung plus übrige
Abschreibungen dividiert durch die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
384;Busswil b.B.;0.0;243;5;14;371;25.81;276.68;334.42;288.19;406.06;316.65;327.69;311.30;430.43;0.00
325;Busswil b.M.;201.0;244;2;20;;453.74;464.67;560.90;19.58;3361.72;110.41;-376.05;-594.52;-507.73;-675.65
403;Bäriswil;1005.0;246;6;11;351;19.73;309.80;311.27;238.20;-71.27;70.20;313.17;1913.18;-21.06;13.37
533;Bätterkinden;3171.0;245;9;15;;280.29;223.44;-86.01;285.41;247.33;283.62;273.30;285.51;406.53;145.08
682;Bévilard;1681.0;241;15;18;;0.00;0.00;257.50;93.85;256.07;205.96;17.93;-286.10;-126.16;281.05
572;Bönigen;2447.0;250;11;7;;-16.22;138.64;352.12;7.24;131.21;2.28;-47.73;75.81;44.49;216.09
382;Büetigen;827.0;243;5;15;;315.78;581.26;511.49;554.82;416.93;358.87;322.36;524.60;69.80;-32.28
734;Bühl;419.0;243;16;16;;33.06;511.21;646.22;565.77;353.79;440.81;577.16;315.70;596.10;270.23
383;Büren a.A.;3295.0;243;5;17;;121.60;481.37;205.12;444.53;1056.60;92.31;280.36;447.21;252.35;-52.73
534;Büren z.H.;468.0;246;9;15;;203.57;-102.23;-633.24;-301.13;297.28;-191.19;-227.23;396.57;392.30;-207.31
683;Champoz;162.0;241;15;21;;0.00;0.00;555.56;804.93;1673.06;1647.07;766.83;944.00;2364.63;826.29
684;Châtelat;113.0;241;15;21;;610.92;112.29;-147.98;-291.16;464.04;460.18;139.90;252.59;127.21;249.18
661;Clavaleyres;49.0;246;14;21;;338.61;235.22;590.07;-429.08;133.68;-394.12;465.54;356.51;253.75;-310.25
687;Corcelles;214.0;241;15;15;;0.00;-118.06;-35.23;168.21;-50.72;385.61;-70.08;328.10;322.38;345.69
431;Corgémont;1551.0;241;7;18;;351.53;83.62;238.00;318.28;2102.96;355.31;376.71;254.23;-14.57;182.90
432;Cormoret;495.0;241;7;15;;-79.14;-14.24;-260.97;171.63;129.54;396.37;484.12;251.57;228.16;67.72
433;Cortébert;697.0;241;7;15;;3.09;232.09;68.29;1.36;114.47;479.28;339.01;538.76;22.61;126.07
690;Court;1390.0;241;15;18;;0.00;0.00;5.68;59.35;299.14;462.50;368.69;174.67;229.09;315.36
434;Courtelary;1283.0;241;7;18;;-222.80;-187.70;0.00;0.00;83.58;182.09;649.11;534.06;-111.56;-72.04
691;Crémines;550.0;241;15;18;;0.00;0.00;188.82;99.41;312.37;100.21;-191.72;-88.71;-328.38;-374.61
535;Deisswil b.M.;97.0;246;9;15;;-153.82;36.81;-840.96;-335.74;-203.92;-232.51;21.39;308.49;1390.22;-652.20
536;Diemerswil;199.0;246;9;11;351;90.76;-295.13;436.80;117.00;212.57;405.56;471.97;229.07;594.64;1292.53
762;Diemtigen;2140.0;249;17;21;;138.94;112.28;32.64;22.31;-141.11;73.50;173.14;445.74;257.58;325.73
385;Diessbach b.B.;923.0;243;5;15;;-113.58;-254.33;-150.14;0.00;318.55;253.38;251.37;485.91;564.51;202.30
721;Diesse;443.0;241;13;17;;-1038.28;-593.97;485.33;72.42;1445.00;72.46;180.26;661.16;1150.10;639.79
386;Dotzigen;1358.0;243;5;15;;303.47;-79.11;117.50;42.06;320.43;394.16;249.07;284.10;336.32;385.77
575;Därligen;416.0;250;11;15;;-606.64;545.91;0.00;-1445.41;-403.10;0.00;94.73;77.52;317.74;534.51
761;Därstetten;833.0;249;17;19;;372.55;-87.12;307.36;391.48;356.43;205.94;213.87;334.36;-108.25;-90.29
952;Dürrenroth;1064.0;245;25;21;;409.07;-76.23;16.54;63.87;5024.74;249.25;-373.89;-59.70;306.84;499.57
901;Eggiwil;2453.0;245;23;21;;107.79;1.55;246.11;18.75;209.30;226.84;824.15;653.90;746.86;165.47
864;Englisberg;0.0;246;22;8;;-59.65;64.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;379.42;388.22;872.18;166.64;266.03;1289.67;479.42;445.87;280.40;742.46
953;Eriswil;1347.0;244;25;19;;251.96;278.75;184.58;215.27;3925.90;457.45;-86.74;361.42;193.71;-18.19
924;Eriz;496.0;247;24;21;;288.45;1145.54;-126.11;-298.51;1115.64;105.91;176.05;1189.47;666.09;881.36
492;Erlach;1278.0;243;8;17;;6.14;132.13;217.78;126.15;414.29;130.78;135.97;382.08;241.48;130.90
763;Erlenbach i.S.;1695.0;249;17;20;;0.51;-51.40;51.42;11.58;126.71;388.69;79.64;473.01;396.30;529.51
405;Ersigen;1589.0;245;6;19;;235.65;320.63;-126.24;292.57;284.14;601.77;464.50;245.66;438.65;120.62
692;Eschert;377.0;241;15;19;;-179.36;-148.35;6.18;-235.85;-73.68;202.72;-147.23;-99.92;2.15;515.72
537;Etzelkofen;289.0;246;9;18;;394.70;603.19;654.66;273.02;39.77;-24.21;392.11;264.12;-350.74;-495.62
372;Evilard;2424.0;242;4;5;371;309.45;-194.55;-88.91;71.91;1169.50;1228.22;559.01;16.87;400.80;-197.26
925;Fahrni;741.0;247;24;20;;83.85;-292.25;150.02;315.81;269.28;-99.04;-55.06;264.17;199.88;490.37
