K1 SFG Selbstfinanzierungsgrad;;;;;;;;;
Der Selbstfinanzierungsgrad gibt Antwort auf die Frage, wie weit die Investitionen aus
selbst erarbeiteten Mitteln bezahlt werden können. Ein Selbstfinanzierungsgrad von
unter 100 % führt zu einer Neuverschuldung, von über 100 % zu einer Entschuldung. Es handelt sich um
unbereinigte Zahlen.

BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
384;Busswil b.B.;0.0;243;5;14;371;0.00;804.1;4819.9;-1760.7;154.2;183.9;163.9;117.1;64.8;0.00
325;Busswil b.M.;201.0;244;2;20;;57.6;450.8;-227.1;-57.8;673.7;37.5;-156.3;-128.7;-103.7;-534.2
403;Bäriswil;1005.0;246;6;11;351;164.8;339.8;78.5;205.6;105.4;292.9;80.8;676.9;13.6;40.7
533;Bätterkinden;3171.0;245;9;15;;416.4;1021.7;191.5;515.6;83.7;166.3;196.7;195.1;332.0;418.0
682;Bévilard;1681.0;241;15;18;;36.9;352.7;438.3;56.7;84.7;218.4;93.2;9.8;-2156.6;121.6
572;Bönigen;2447.0;250;11;7;;124.4;59.6;184.2;-210.0;74.4;34.7;44.0;96.3;45.7;89.4
382;Büetigen;827.0;243;5;15;;372.2;520.9;63.6;91.1;19755.2;1203.6;311.8;323.3;75.8;81.6
734;Bühl;419.0;243;16;16;;708.8;210.6;2278.8;176.9;385.4;52.2;580.5;38.7;42.3;-323.2
383;Büren a.A.;3295.0;243;5;17;;567.4;213.4;119.5;159.2;998.3;86.3;39.8;125.8;126.9;2.7
534;Büren z.H.;468.0;246;9;15;;39.2;14.0;-99.7;-1458.2;899.1;160.0;129.0;769.3;216.6;20.9
683;Champoz;162.0;241;15;21;;48.9;157.0;302.5;568.1;691.0;21147.3;102.4;89.9;185.9;96.0
684;Châtelat;113.0;241;15;21;;33.6;29.6;10.4;5.7;139.6;-36.7;0.00;500.2;57.9;160.5
661;Clavaleyres;49.0;246;14;21;;0.00;0.00;0.00;-99.8;196.0;0.00;707.9;0.00;40.8;0.00
687;Corcelles;214.0;241;15;15;;-813.9;28.8;805.0;7828.5;41.7;-269.4;271.5;-1746.0;96.2;337.4
431;Corgémont;1551.0;241;7;18;;387.5;149.3;246.8;80.9;137.0;228.0;613.4;238.8;21.5;228.0
432;Cormoret;495.0;241;7;15;;92.6;165.1;91.9;472.7;125.6;604.1;390.9;223.5;801.3;1325.4
433;Cortébert;697.0;241;7;15;;-2841.2;6381.4;33.7;202.4;377.1;101.6;101.2;38.9;39.5;137.8
690;Court;1390.0;241;15;18;;52.7;82.3;497.8;236.0;238.1;233.7;210.6;132.8;161.2;104.8
434;Courtelary;1283.0;241;7;18;;37.0;-1632.2;-7054.4;207.1;91.0;253.1;243.1;148.2;953.8;28.5
691;Crémines;550.0;241;15;18;;-25.4;73.0;276.0;261.6;-113.2;143.3;90.5;93.8;61.4;23.6
535;Deisswil b.M.;97.0;246;9;15;;-419.7;17.5;70.4;18.7;-2.6;-4.5;310.9;260.9;1022.8;-285.7
536;Diemerswil;199.0;246;9;11;351;0.00;0.00;247.7;0.00;0.00;1119.6;454.4;1987.8;69.3;809.1
762;Diemtigen;2140.0;249;17;21;;226.2;149.4;105.5;73.4;8.8;20.1;129.6;200.3;238.1;154.4
385;Diessbach b.B.;923.0;243;5;15;;759.4;511.2;818.0;2906.2;238.8;504.1;1149.4;5451.5;1140.2;410.5
721;Diesse;443.0;241;13;17;;-890.2;-191.3;202.3;73.9;370.4;127.3;150.4;207.3;199.0;263.7
386;Dotzigen;1358.0;243;5;15;;728.8;135.1;234.8;248.5;622.8;179.0;229.6;130.7;273.3;131.6
575;Därligen;416.0;250;11;15;;-226.3;1090.1;-365.0;-443.1;-71.8;523.3;1921.0;166.9;5413.5;1649.3
761;Därstetten;833.0;249;17;19;;0.00;0.00;175.0;265.5;155.9;112.8;151.1;194.4;53.2;32.1
952;Dürrenroth;1064.0;245;25;21;;137.7;59.2;1830.6;176.8;2884.4;183.8;-2.2;32.0;212.9;272.2
901;Eggiwil;2453.0;245;23;21;;136.6;124.8;163.3;135.0;233.0;169.0;188.6;690.6;171.1;-368.2
864;Englisberg;0.0;246;22;8;;-7.9;39.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;547.8;268.8;1723.1;393.6;563.4;1078.0;185.5;192.1;424.3;156.5
953;Eriswil;1347.0;244;25;19;;139.8;44.8;27.5;106.1;665.9;122.8;8.6;229.5;89.3;116.5
924;Eriz;496.0;247;24;21;;767.2;113.1;19.5;574.1;322.3;9300.1;5288.8;367.4;190.2;52.7
492;Erlach;1278.0;243;8;17;;61.5;120.8;58.5;88.6;78.9;147.3;242.2;1057.5;295.9;204.6
763;Erlenbach i.S.;1695.0;249;17;20;;244.2;422.3;281.0;913.6;120.4;194.2;214.7;368.0;106.7;118.2
405;Ersigen;1589.0;245;6;19;;237.1;128.2;73.6;100.0;165.2;309.8;73.1;57.1;144.5;160.9
692;Eschert;377.0;241;15;19;;-47.6;99.1;81.8;-414.0;-77.9;-263.6;43.5;-155.4;-182.2;96.7
537;Etzelkofen;289.0;246;9;18;;220.5;1083.3;83.4;236.1;113.2;165.2;325.2;81.0;-39.4;-42.8
372;Evilard;2424.0;242;4;5;371;-358.0;346.1;145.0;228.1;276.5;406.6;198.2;164.9;444.6;24.6
925;Fahrni;741.0;247;24;20;;338.4;27.6;119.6;1150.2;129.3;146.4;104.4;377.3;166.4;116.6
975;Farnern;209.0;244;26;15;;1033.7;193.5;1916.1;80.8;177.2;101.2;-33.8;-174.2;77.5;103.6
662;Ferenbalm;1270.0;246;14;15;;361.6;159.6;395.8;440.1;589.2;43.0;668.2;129.1;211.9;-83.8
493;Finsterhennen;501.0;243;8;20;;93.5;27.9;27.2;-317.6;95.4;159.0;61.0;227.0;102.2;-530.7
926;Forst;0.0;247;24;15;;4557.8;594.0;4571.2;231.6;54.6;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;286.2;152.3;-513.4;3537.1;195.0
538;Fraubrunnen;1791.0;246;9;11;351;302.7;586.9;-1037.4;150.9;96.9;67.0;166.1;60.4;37.4;51.0
663;Frauenkappelen;1256.0;246;14;11;351;64.6;-678.2;98.0;25.5;-7.7;114.0;362.8;165.1;241.6;220.4
607;Freimettigen;424.0;246;12;15;;49.3;450.5;37.0;25.2;44.3;77.3;578.1;127.8;51.2;25.6
563;Frutigen;6703.0;249;10;4;;207.4;442.0;439.5;484.1;214.0;375.8;169.2;168.9;111.7;43.3
781;Gadmen;229.0;250;18;22;;437.2;1447.6;-5780.6;2524.7;3544.4;612.0;64.9;243.7;26.6;19.5
494;Gals;729.0;243;8;20;;34.6;217.0;-141.5;886.7;-1865.0;-731.2;403.4;242.2;382.6;91.9
495;Gampelen;791.0;243;8;17;;53.7;2668.4;223.6;207.4;-383.9;-508.9;1930.6;1193.3;598.3;416.2
865;Gelterfingen;242.0;246;22;21;;192.6;-2085.7;199.7;892.5;184.0;-306.1;14.6;-65.6;1141.6;83.6
866;Gerzensee;1134.0;246;22;20;;41.5;90.7;222.5;194.0;319.4;160.2;399.8;40.1;144.3;142.2
664;Golaten;303.0;246;14;21;;262.2;99.0;2132.1;1400.4;-339.8;7.6;-67.1;-5.8;1121.3;-2.2
326;Gondiswil;724.0;244;2;19;;701.8;196.2;13.7;60.5;4916.7;60.1;156.1;48.8;58.8;64.4
976;Graben;291.0;244;26;15;;22.3;117.1;238.2;37.2;4990.6;2652.0;1305.2;67.5;380.0;295.8
539;Grafenried;976.0;246;9;11;351;896.3;191.7;48.9;81.0;217.4;397.4;122.1;147.0;111.8;73.2
694;Grandval;351.0;241;15;18;;-3853.4;0.00;0.00;0.00;193.8;260.6;1558.6;2679.0;2077.2;177.7
576;Grindelwald;4040.0;250;11;6;;140.2;427.0;205.8;67.0;139.8;103.8;218.4;141.5;66.7;54.0
303;Grossaffoltern;2812.0;243;1;15;;-486.2;176.0;900.8;702.1;249.7;252.6;248.7;60.7;59.2;113.0
608;Grosshöchstetten;3289.0;246;12;11;351;119.1;136.9;152.9;357.4;148.0;149.0;476.3;47.6;33.8;-538.6
841;Gsteig;986.0;248;20;20;;1691.2;99.1;70.4;40.0;96.6;164.5;254.1;234.1;387.3;311.1
577;Gsteigwiler;430.0;250;11;14;;421.9;6926.4;14150.1;483.1;483.8;110.3;376.0;169.3;70.8;20.6
852;Guggisberg;1585.0;246;21;21;;443.1;126.0;69.7;45.2;124.9;128.8;-3445.0;313.3;144.3;233.7
665;Gurbrü;245.0;246;14;21;;205.7;1477.6;46.0;14.1;28.2;461.2;150.4;1325.4;1433.9;29.9
867;Gurzelen;798.0;247;22;19;;110.1;-16.3;-16.6;238.4;52.9;67.1;138.3;25.8;4.8;167.4
327;Gutenburg;0.0;244;2;15;;7.6;116.0;28.4;1872.3;2085.2;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;46.0;300.0;714.3;142.6;137.9;125.2;150.9;47.2;580.3;49.3
578;Gündlischwand;284.0;250;11;17;;28.9;14035.0;426.2;46.2;-55.1;-140.0;5061.7;182.0;146.2;182.3
579;Habkern;640.0;250;11;21;;95.1;69.1;187.7;37.6;111.8;47.0;46.1;161.8;746.8;106.7
736;Hagneck;415.0;243;16;15;;233.7;431.6;769.6;181.7;2653.8;1138.3;77.5;17.7;3.2;16.3
406;Hasle b.B.;3170.0;245;6;16;;0.00;93.6;157.6;324.4;152.5;186.4;116.2;70.0;68.1;706.1
