K4 ZBA Zinsbelastungsanteil;;;;;;;;;
Der Zinsbelastungsanteil gibt Antwort auf die Frage, wie stark der Finanzertrag durch den
Zinsendienst belastet ist. Im Vergleich über mehrere Jahre wird die Verschuldungstendenz und
im Vergleich zu anderen Gemeinden die Verschuldungssituation erkannt.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
923;Buchholterberg;1531.0;247;24;19;;0.9;-1.3;-1.7;-1.1;-1.6;-1.9;-2.0;-1.6;-1.6;-1.0
404;Burgdorf;15549.0;245;6;3;404;-2.5;-2.8;-2.4;-3.0;-3.2;-2.2;-3.7;-2.7;-1.2;-2.5
863;Burgistein;1026.0;247;22;16;;-2.3;-2.9;-2.8;-2.4;-2.9;-3.0;-2.8;-1.8;-1.6;-3.8
384;Busswil b.B.;0.0;243;5;14;371;0.4;-0.2;-1.5;-2.8;-3.3;-3.6;-2.7;-2.8;-3.0;0.00
325;Busswil b.M.;201.0;244;2;20;;-4.8;-3.1;-4.1;-4.6;-3.3;-10.0;-9.0;-7.6;-7.2;-6.0
403;Bäriswil;1005.0;246;6;11;351;2.9;1.9;1.1;-0.6;0.6;-0.2;0.0;0.0;7.6;0.4
533;Bätterkinden;3171.0;245;9;15;;0.6;-3.7;-0.3;-1.7;1.8;-1.3;-1.2;-0.6;-0.6;-0.5
682;Bévilard;1681.0;241;15;18;;3.1;2.2;-6.6;3.9;-6.3;1.1;2.1;19.5;2.0;1.3
572;Bönigen;2447.0;250;11;7;;-0.3;-0.4;0.2;-0.5;-0.6;-0.6;-0.1;-0.0;-0.3;-0.3
382;Büetigen;827.0;243;5;15;;-0.2;-1.5;-1.4;-1.4;-0.8;-1.9;-2.3;-2.6;-2.6;-2.5
734;Bühl;419.0;243;16;16;;1.6;-0.3;-4.2;-3.3;-1.3;-2.0;-1.5;-1.2;-1.5;-2.4
383;Büren a.A.;3295.0;243;5;17;;-2.3;1.0;-2.8;-2.1;-1.6;-2.0;-2.0;-1.3;-1.0;-1.0
534;Büren z.H.;468.0;246;9;15;;-3.0;-1.3;1.1;0.8;-0.4;-1.3;-1.1;-1.5;-2.0;-1.8
683;Champoz;162.0;241;15;21;;-4.4;-0.2;-1.6;-1.4;-1.5;-0.6;0.2;-0.1;-0.2;0.2
684;Châtelat;113.0;241;15;21;;4.0;-0.2;-2.0;0.8;1.2;2.6;-0.4;-1.0;1.5;-0.4
661;Clavaleyres;49.0;246;14;21;;-11.7;-11.1;-20.4;-15.7;-11.9;-11.0;-8.2;-10.9;-8.4;-11.0
687;Corcelles;214.0;241;15;15;;2.2;1.3;-1.2;-1.3;-0.4;-0.6;-0.4;-0.9;-0.8;-2.2
431;Corgémont;1551.0;241;7;18;;-2.2;-2.2;-2.4;-2.2;-1.5;-2.7;-2.6;-3.0;-2.6;-1.4
432;Cormoret;495.0;241;7;15;;2.4;2.4;2.2;1.9;1.5;1.3;0.8;0.4;2.6;0.5
433;Cortébert;697.0;241;7;15;;-0.2;0.1;-1.2;1.4;0.7;-0.1;0.1;0.4;1.4;1.7
