K2 SFA Selbstfinanzierungsanteil;;;;;;;;;
Der Selbstfinanzierungsanteil gibt  Auskunft über die finanzielle Leistungsfähigkeit
einer Gemeinde. Je höher der Wert, um so grösser ist der Spielraum für den Schuldenabbau
oder die Finanzierung von Investitionen und deren Folgekosten.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
325;Busswil b.M.;201.0;244;2;20;;16.9;11.8;17.6;3.5;53.4;8.1;-7.3;-19.5;-17.8;-21.2
403;Bäriswil;1005.0;246;6;11;351;11.1;16.5;14.2;16.5;5.9;12.9;13.4;43.7;2.8;9.9
533;Bätterkinden;3171.0;245;9;15;;10.8;12.5;3.6;13.4;13.0;15.8;15.0;16.4;19.7;10.7
682;Bévilard;1681.0;241;15;18;;4.9;10.6;21.6;11.2;14.2;16.8;12.2;5.7;14.9;16.8
572;Bönigen;2447.0;250;11;7;;10.5;12.5;19.2;7.4;13.3;10.7;5.9;13.8;10.9;17.6
382;Büetigen;827.0;243;5;15;;19.7;27.9;28.2;28.4;21.8;20.7;17.5;22.5;9.6;4.9
734;Bühl;419.0;243;16;16;;11.8;22.0;30.2;23.6;27.2;15.5;23.9;9.9;18.3;12.5
383;Büren a.A.;3295.0;243;5;17;;9.8;17.4;10.6;13.2;21.2;5.4;5.6;10.3;5.1;0.1
534;Büren z.H.;468.0;246;9;15;;17.5;11.7;-6.3;24.4;15.3;5.4;6.8;20.9;15.6;0.7
683;Champoz;162.0;241;15;21;;7.3;9.1;18.2;26.8;20.2;36.0;21.4;23.8;44.9;23.8
684;Châtelat;113.0;241;15;21;;18.8;7.8;2.1;2.5;14.9;19.9;9.3;11.4;9.6;11.4
661;Clavaleyres;49.0;246;14;21;;14.7;10.4;23.5;-10.6;14.3;-4.2;41.6;18.4;24.0;5.8
687;Corcelles;214.0;241;15;15;;-6.5;11.1;12.9;20.0;12.8;20.2;8.9;17.3;18.9;15.5
431;Corgémont;1551.0;241;7;18;;18.1;13.0;13.6;19.2;46.8;23.3;32.2;16.5;5.2;26.4
