K36 NPEV NettoA pro Einwohner allg. Verwaltung;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Allgemeine Verwaltung (Funktion 011, 012, 029) dividiert
durch die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
403;Bäriswil;1005.0;246;6;11;351;318.99;309.02;297.21;308.86;355.48;366.70;394.60;381.39;433.76;397.72
533;Bätterkinden;3171.0;245;9;15;;314.97;369.78;320.54;317.74;340.59;338.27;344.59;338.37;312.62;302.55
682;Bévilard;1681.0;241;15;18;;268.96;277.98;259.43;261.02;259.60;273.44;271.29;279.41;265.76;272.08
572;Bönigen;2447.0;250;11;7;;365.75;365.04;352.96;461.10;407.96;373.81;385.01;401.13;369.07;378.34
382;Büetigen;827.0;243;5;15;;326.90;334.88;327.79;328.33;318.12;333.94;291.97;312.23;274.95;312.77
734;Bühl;419.0;243;16;16;;440.41;461.14;382.32;414.67;472.32;430.63;417.41;429.58;465.06;549.65
383;Büren a.A.;3295.0;243;5;17;;280.94;302.40;319.13;310.23;323.43;364.33;380.19;381.02;366.26;404.28
534;Büren z.H.;468.0;246;9;15;;462.86;517.42;497.48;499.40;583.96;520.61;630.13;469.01;436.05;453.39
683;Champoz;162.0;241;15;21;;284.49;355.32;315.49;269.29;310.29;331.43;358.05;410.60;352.25;489.93
684;Châtelat;113.0;241;15;21;;411.35;433.88;480.88;506.33;508.76;522.37;546.41;570.65;559.61;620.18
661;Clavaleyres;49.0;246;14;21;;769.89;878.20;596.46;605.42;563.04;740.72;624.42;632.14;684.64;674.99
687;Corcelles;214.0;241;15;15;;303.42;296.84;313.50;347.91;307.39;299.47;316.46;391.65;388.92;455.43
431;Corgémont;1551.0;241;7;18;;209.14;211.30;222.68;215.37;216.29;231.26;231.46;236.69;252.82;269.94
432;Cormoret;495.0;241;7;15;;277.61;311.97;295.34;303.60;313.58;343.20;364.95;360.70;378.95;420.07
433;Cortébert;697.0;241;7;15;;238.13;252.71;258.68;254.09;290.07;326.08;317.79;357.99;367.97;372.38
690;Court;1390.0;241;15;18;;307.21;267.17;267.86;241.83;222.91;258.30;281.82;323.65;268.49;308.52
434;Courtelary;1283.0;241;7;18;;249.59;268.42;227.18;254.99;275.28;290.78;284.36;340.60;349.63;338.94
691;Crémines;550.0;241;15;18;;268.84;303.65;328.96;282.83;282.75;309.49;333.47;375.90;365.16;370.01
535;Deisswil b.M.;97.0;246;9;15;;504.27;536.70;535.70;568.04;517.18;586.45;544.38;569.01;623.57;600.24
536;Diemerswil;199.0;246;9;11;351;376.85;422.23;362.75;454.65;259.74;339.29;382.41;422.72;448.86;463.64
762;Diemtigen;2140.0;249;17;21;;244.50;247.95;249.49;275.81;269.46;256.71;274.54;295.95;329.12;387.62
385;Diessbach b.B.;923.0;243;5;15;;232.32;214.70;198.93;302.54;270.94;287.30;282.31;347.04;403.97;331.60
721;Diesse;443.0;241;13;17;;368.75;361.06;365.43;371.88;359.30;418.95;421.47;422.68;434.82;437.11
386;Dotzigen;1358.0;243;5;15;;345.96;337.87;339.22;303.22;304.69;314.05;325.77;335.84;327.78;346.98
575;Därligen;416.0;250;11;15;;465.31;524.93;482.42;522.12;565.40;552.48;619.58;609.37;587.09;602.82
761;Därstetten;833.0;249;17;19;;277.14;227.57;270.95;227.01;220.64;236.78;260.40;269.66;331.04;326.76
952;Dürrenroth;1064.0;245;25;21;;368.37;361.26;345.48;369.04;398.18;433.01;434.97;442.00;479.39;501.64
901;Eggiwil;2453.0;245;23;21;;239.78;264.39;235.64;233.46;248.70;239.59;246.08;268.82;268.27;278.25
864;Englisberg;0.0;246;22;8;;540.24;507.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;521.18;538.41;435.08;475.92;360.99;371.73;378.70;396.47;426.03;390.17
953;Eriswil;1347.0;244;25;19;;304.88;250.36;263.46;295.51;290.22;282.01;299.82;360.27;360.38;428.42
924;Eriz;496.0;247;24;21;;477.49;510.08;491.26;502.86;486.95;489.94;516.92;451.27;389.99;383.40
492;Erlach;1278.0;243;8;17;;377.03;392.48;362.67;367.43;367.02;403.20;402.13;420.95;409.12;350.81
763;Erlenbach i.S.;1695.0;249;17;20;;283.41;258.66;271.72;267.12;266.74;303.69;201.09;259.74;307.96;270.37
405;Ersigen;1589.0;245;6;19;;277.81;286.10;284.43;277.68;328.35;308.42;303.76;293.33;306.04;283.91
692;Eschert;377.0;241;15;19;;315.84;321.39;325.25;341.38;283.13;290.66;346.23;370.61;410.06;384.50
537;Etzelkofen;289.0;246;9;18;;337.59;307.72;333.67;428.45;500.84;445.08;480.56;585.62;815.40;799.85
372;Evilard;2424.0;242;4;5;371;442.89;387.72;386.70;389.06;402.14;440.31;454.45;508.48;524.53;522.83
925;Fahrni;741.0;247;24;20;;379.16;354.26;396.42;384.08;381.58;403.73;373.09;384.45;393.33;305.33
975;Farnern;209.0;244;26;15;;528.52;508.35;548.67;552.72;619.17;689.17;751.76;804.13;794.71;735.33
662;Ferenbalm;1270.0;246;14;15;;310.14;299.92;319.08;289.80;309.10;349.53;380.12;345.76;374.39;429.91
493;Finsterhennen;501.0;243;8;20;;445.89;458.94;458.56;439.29;411.31;407.93;433.25;474.87;459.17;474.90
926;Forst;0.0;247;24;15;;349.49;299.63;345.61;308.41;389.18;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;381.11;413.95;485.84;392.28;461.66
538;Fraubrunnen;1791.0;246;9;11;351;265.59;261.94;284.19;287.81;314.76;337.31;339.58;375.64;367.57;380.72
663;Frauenkappelen;1256.0;246;14;11;351;353.24;342.68;382.71;418.21;443.36;474.55;468.26;465.95;468.37;500.84
607;Freimettigen;424.0;246;12;15;;457.49;512.72;476.69;463.42;482.30;514.99;447.67;468.98;396.88;429.54
563;Frutigen;6703.0;249;10;4;;279.20;262.19;267.46;268.70;267.67;259.21;255.69;269.23;277.45;281.69
781;Gadmen;229.0;250;18;22;;522.08;479.01;520.61;478.22;611.63;576.61;614.93;727.80;764.57;785.92
494;Gals;729.0;243;8;20;;368.41;368.69;377.91;352.93;357.35;403.47;256.74;270.42;304.94;299.71
495;Gampelen;791.0;243;8;17;;366.41;361.78;376.06;343.25;295.64;274.76;286.92;302.83;384.74;326.16
865;Gelterfingen;242.0;246;22;21;;528.27;556.17;555.24;565.97;601.48;495.86;470.57;472.11;453.46;468.56
866;Gerzensee;1134.0;246;22;20;;528.25;515.97;547.73;518.99;542.57;530.79;538.08;517.91;505.05;490.15
664;Golaten;303.0;246;14;21;;541.57;540.64;592.96;591.27;646.77;610.25;826.66;677.80;653.33;657.02
326;Gondiswil;724.0;244;2;19;;435.23;411.46;435.95;434.76;437.32;468.93;416.13;452.00;470.59;468.30
976;Graben;291.0;244;26;15;;403.98;373.67;373.66;388.11;366.48;357.03;374.53;421.85;392.17;433.34
