K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
325;Busswil b.M.;201.0;244;2;20;;0.29;0.03;-0.08;-0.06;0.08;0.22;0.05;0.15;0.17;0.04
403;Bäriswil;1005.0;246;6;11;351;0.07;0.05;0.18;0.08;0.06;0.04;0.17;0.06;0.20;0.24
533;Bätterkinden;3171.0;245;9;15;;0.03;0.01;0.02;0.03;0.16;0.09;0.08;0.08;0.06;0.03
682;Bévilard;1681.0;241;15;18;;0.13;0.03;0.05;0.20;0.17;0.08;0.13;0.58;-0.01;0.14
572;Bönigen;2447.0;250;11;7;;0.08;0.21;0.10;-0.04;0.18;0.31;0.13;0.14;0.24;0.20
382;Büetigen;827.0;243;5;15;;0.05;0.05;0.44;0.31;0.00;0.02;0.06;0.07;0.13;0.06
734;Bühl;419.0;243;16;16;;0.02;0.10;0.01;0.13;0.07;0.30;0.04;0.26;0.43;-0.04
383;Büren a.A.;3295.0;243;5;17;;0.02;0.08;0.09;0.08;0.02;0.06;0.14;0.08;0.04;0.05
534;Büren z.H.;468.0;246;9;15;;0.45;0.83;0.06;-0.02;0.02;0.03;0.05;0.03;0.07;0.03
683;Champoz;162.0;241;15;21;;0.15;0.06;0.06;0.05;0.03;0.00;0.21;0.26;0.24;0.25
684;Châtelat;113.0;241;15;21;;0.56;0.26;0.21;0.44;0.11;-0.54;0.00;0.02;0.17;0.07
661;Clavaleyres;49.0;246;14;21;;0.00;0.00;0.00;0.11;0.07;0.00;0.06;0.00;0.59;0.00
687;Corcelles;214.0;241;15;15;;0.01;0.39;0.02;0.00;0.31;-0.07;0.03;-0.01;0.20;0.05
431;Corgémont;1551.0;241;7;18;;0.05;0.09;0.06;0.24;0.34;0.10;0.05;0.07;0.24;0.12
432;Cormoret;495.0;241;7;15;;0.13;0.09;0.07;0.04;0.15;0.04;0.06;0.08;0.02;0.01
433;Cortébert;697.0;241;7;15;;0.00;0.00;0.40;0.05;0.04;0.21;0.20;0.51;0.35;0.12
690;Court;1390.0;241;15;18;;0.18;0.13;0.01;0.05;0.08;0.10;0.10;0.10;0.07;0.14
434;Courtelary;1283.0;241;7;18;;0.07;0.00;0.00;0.07;0.12;0.06;0.09;0.14;0.01;0.14
691;Crémines;550.0;241;15;18;;0.16;0.13;0.08;0.07;-0.10;0.12;0.13;0.15;0.12;0.14
535;Deisswil b.M.;97.0;246;9;15;;0.01;0.48;0.09;1.04;0.72;0.08;0.03;0.07;0.03;0.15
536;Diemerswil;199.0;246;9;11;351;0.00;0.00;0.07;0.00;0.00;0.02;0.04;0.01;0.30;0.04
762;Diemtigen;2140.0;249;17;21;;0.04;0.06;0.07;0.09;0.10;0.40;0.10;0.11;0.07;0.09
385;Diessbach b.B.;923.0;243;5;15;;0.01;0.01;0.02;0.01;0.06;0.03;0.01;0.00;0.02;0.03
721;Diesse;443.0;241;13;17;;0.02;0.02;0.07;0.14;0.04;0.10;0.07;0.09;0.12;0.08
386;Dotzigen;1358.0;243;5;15;;0.03;0.05;0.05;0.05;0.03;0.11;0.08;0.09;0.06;0.13
575;Därligen;416.0;250;11;15;;0.04;0.03;0.07;0.11;0.03;0.03;0.01;0.06;0.00;0.01
761;Därstetten;833.0;249;17;19;;0.00;0.00;0.09;0.08;0.13;0.14;0.08;0.08;0.20;0.20
952;Dürrenroth;1064.0;245;25;21;;0.11;0.11;0.00;0.05;0.02;0.07;0.44;0.38;0.07;0.07
901;Eggiwil;2453.0;245;23;21;;0.11;0.08;0.12;0.09;0.07;0.11;0.15;0.03;0.14;-0.03
864;Englisberg;0.0;246;22;8;;0.65;-0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;0.04;0.09;0.02;0.05;0.04;0.04;0.13;0.10;0.04;0.17
953;Eriswil;1347.0;244;25;19;;0.14;0.43;0.55;0.13;0.07;0.15;0.10;0.06;0.10;0.06
