K27 NIK Nettoinv. pro Einwohner;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch Anzahl Einwohner.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
403;Bäriswil;1005.0;246;6;11;351;226.75;189.14;614.27;273.32;173.99;136.61;576.80;331.68;664.93;782.24
533;Bätterkinden;3171.0;245;9;15;;90.75;42.34;50.01;79.16;484.65;296.16;247.53;272.95;200.34;77.75
682;Bévilard;1681.0;241;15;18;;457.57;97.96;202.11;573.33;620.24;271.73;454.32;1296.92;-22.39;500.81
572;Bönigen;2447.0;250;11;7;;238.65;620.56;334.67;-99.64;532.48;877.50;399.99;433.96;726.32;644.75
382;Büetigen;827.0;243;5;15;;200.42;204.54;1796.76;1220.17;4.15;60.87;208.10;256.33;404.39;180.58
734;Bühl;419.0;243;16;16;;54.56;379.19;51.21;489.74;271.10;953.07;155.27;806.97;1466.20;-134.03
383;Büren a.A.;3295.0;243;5;17;;60.55;301.42;311.67;421.31;125.15;333.77;779.45;518.15;252.95;247.16
534;Büren z.H.;468.0;246;9;15;;1234.63;2842.57;186.68;-73.02;66.31;110.54;190.75;103.09;272.00;106.63
683;Champoz;162.0;241;15;21;;615.02;217.33;301.67;203.76;132.52;9.05;1074.75;1302.12;1558.16;1141.42
684;Châtelat;113.0;241;15;21;;2012.37;853.48;637.14;1415.25;454.66;-2466.59;0.00;88.81;651.43;312.17
661;Clavaleyres;49.0;246;14;21;;0.00;0.00;0.00;253.32;222.56;0.00;293.42;0.00;2746.60;0.00
687;Corcelles;214.0;241;15;15;;23.84;1231.40;57.22;8.95;1033.32;-291.41;130.36;-41.02;787.55;189.44
431;Corgémont;1551.0;241;7;18;;176.58;307.20;202.09;922.13;1932.36;412.40;247.73;261.53;827.63;507.25
432;Cormoret;495.0;241;7;15;;519.24;338.64;240.91;172.52;561.44;154.52;248.85;333.48;81.14;40.66
433;Cortébert;697.0;241;7;15;;-16.63;8.74;1562.18;185.00;128.36;833.62;797.62;1938.08;1263.31;457.80
690;Court;1390.0;241;15;18;;574.47;386.77;42.48;155.03;259.86;333.15;358.90;345.52;220.61;479.53
434;Courtelary;1283.0;241;7;18;;271.07;-13.48;-8.12;298.13;458.14;262.84;429.74;610.51;26.34;542.34
691;Crémines;550.0;241;15;18;;413.69;413.66;265.80;256.35;-389.16;484.39;518.20;557.54;427.90;502.00
535;Deisswil b.M.;97.0;246;9;15;;25.09;1129.16;229.45;3001.21;1745.87;202.30;101.06;254.89;148.02;308.25
536;Diemerswil;199.0;246;9;11;351;0.00;0.00;227.34;0.00;0.00;66.88;132.70;24.65;1046.56;180.83
762;Diemtigen;2140.0;249;17;21;;114.31;150.48;177.85;229.74;233.90;1095.59;305.89;358.57;270.06;346.58
385;Diessbach b.B.;923.0;243;5;15;;40.61;42.01;60.25;27.98;231.24;126.57;53.47;16.36;93.47;125.18
721;Diesse;443.0;241;13;17;;67.52;73.70;319.64;604.92;158.48;453.71;335.26;476.62;644.50;373.13
386;Dotzigen;1358.0;243;5;15;;97.00;179.04;159.68;140.70;106.17;372.05;256.98;310.19;217.68;445.85
575;Därligen;416.0;250;11;15;;104.46;136.23;184.81;221.85;90.22;116.20;44.82;221.53;10.25;48.83
761;Därstetten;833.0;249;17;19;;0.00;0.00;299.28;261.83;412.09;426.76;254.12;272.07;631.15;601.83
952;Dürrenroth;1064.0;245;25;21;;481.45;417.26;13.56;218.26;187.67;242.21;1500.50;1285.58;245.79;283.60
901;Eggiwil;2453.0;245;23;21;;394.95;285.20;463.96;350.58;282.47;443.62;721.92;151.42;666.03;-111.44
864;Englisberg;0.0;246;22;8;;1447.21;-274.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;163.52;342.11;95.43;158.87;120.82;148.55;448.16;344.49;114.44;616.14
953;Eriswil;1347.0;244;25;19;;733.38;2383.02;3066.37;736.53;698.27;586.79;395.02;271.50;420.19;267.50
924;Eriz;496.0;247;24;21;;91.98;1696.66;3514.29;87.14;521.99;12.29;13.28;387.16;375.25;1840.91
492;Erlach;1278.0;243;8;17;;789.44;334.10;656.08;585.89;1137.88;420.09;232.88;84.54;212.63;253.84
763;Erlenbach i.S.;1695.0;249;17;20;;137.22;83.02;189.76;47.99;389.07;392.15;186.98;210.11;698.01;649.63
405;Ersigen;1589.0;245;6;19;;210.35;480.88;266.17;621.87;366.09;315.11;816.67;1024.75;514.12;365.68
692;Eschert;377.0;241;15;19;;552.84;43.96;563.82;-18.88;-424.06;-252.71;528.15;-122.11;-173.97;910.43
537;Etzelkofen;289.0;246;9;18;;246.54;85.45;925.37;227.86;202.33;153.84;209.73;509.41;298.69;329.91
372;Evilard;2424.0;242;4;5;371;-239.21;96.17;204.71;211.48;566.73;360.28;376.29;276.21;244.72;242.68
925;Fahrni;741.0;247;24;20;;138.17;130.23;325.91;57.57;427.75;225.79;268.55;174.57;470.82;856.76
975;Farnern;209.0;244;26;15;;52.48;448.52;34.92;391.36;350.62;1644.28;-494.18;41.23;1085.25;366.48
662;Ferenbalm;1270.0;246;14;15;;45.59;63.01;63.56;57.88;62.52;380.52;47.05;241.49;148.56;102.22
