K31 BAPE Bereinigter Aufwand / Einwohner;;;;;;;;;
Kurzbeschrieb: Total Aufwand Laufende Rechnung ohne Abschreibungen (33), Durchlaufende Bei-
träge (37), Einlagen in Spezialfinanzierungen (38) und interne Verrechnungen (39)
dividiert durch die Einwohnerzahl.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
733;Brügg;4155.0;242;16;12;371;6264.56;6492.83;8009.66;7649.41;7770.43;7741.85;8580.10;8752.31;8257.39;7854.23
491;Brüttelen;577.0;243;8;21;;2915.20;2919.01;2904.08;2783.68;2815.02;2768.39;2910.76;3035.87;2838.17;2958.76
923;Buchholterberg;1531.0;247;24;19;;2307.26;2308.31;2193.38;2410.10;2450.24;2503.50;2712.30;2759.31;2563.82;2669.21
404;Burgdorf;15549.0;245;6;3;404;4067.55;4087.03;4153.96;4412.14;4593.13;4615.41;4847.47;4966.49;5026.10;5130.91
863;Burgistein;1026.0;247;22;16;;2792.08;2692.61;2869.57;2958.24;3080.99;3123.46;3700.46;3957.49;4069.36;3179.39
384;Busswil b.B.;0.0;243;5;14;371;2730.37;2564.12;2646.50;2279.47;2265.88;2344.86;2515.52;2521.32;2417.26;0.00
325;Busswil b.M.;201.0;244;2;20;;2803.78;3171.63;2949.65;3359.59;2694.33;2577.91;2967.97;3109.76;2734.37;3291.85
403;Bäriswil;1005.0;246;6;11;351;2933.25;3122.64;2903.52;2826.35;2907.39;2690.75;2949.49;2802.72;2886.08;2899.43
533;Bätterkinden;3171.0;245;9;15;;3069.20;3142.62;2527.88;2582.77;2676.33;2608.01;2753.50;2673.15;2693.22;2696.42
682;Bévilard;1681.0;241;15;18;;3251.98;2894.89;2969.80;2717.32;2646.73;2832.17;2836.15;2609.57;2673.93;2961.68
572;Bönigen;2447.0;250;11;7;;2524.07;2536.59;2556.50;2592.33;2568.10;2558.71;2796.10;2639.51;2710.60;2686.58
382;Büetigen;827.0;243;5;15;;2987.57;2743.09;2962.45;2802.63;2925.20;2765.82;3039.63;2836.46;2876.90;2880.60
734;Bühl;419.0;243;16;16;;2850.37;2818.82;2693.60;2783.94;2773.74;2716.60;2859.01;2803.46;2740.83;3021.09
383;Büren a.A.;3295.0;243;5;17;;2972.75;3033.55;3126.48;4329.49;4581.69;4972.22;5205.60;5611.26;5965.20;5306.81
534;Büren z.H.;468.0;246;9;15;;2277.46;3015.50;3234.60;3297.24;3266.36;3065.77;3283.22;2920.73;3175.63;3196.90
683;Champoz;162.0;241;15;21;;3426.43;3551.93;3611.82;3158.71;3625.33;3398.72;4036.04;3750.63;3550.00;3501.71
684;Châtelat;113.0;241;15;21;;2910.57;2932.48;3009.95;3008.35;3556.54;3613.43;3399.89;3375.67;3555.45;3876.61
661;Clavaleyres;49.0;246;14;21;;2509.94;2839.40;2321.35;2728.28;2600.72;3667.68;2920.58;2829.51;3520.92;3694.22
687;Corcelles;214.0;241;15;15;;3067.71;2840.93;3043.65;2759.72;2906.20;2845.62;3328.26;3363.90;3174.34;3471.24
431;Corgémont;1551.0;241;7;18;;3018.48;3039.70;3121.41;3060.67;2923.37;3031.95;3138.82;3103.97;3143.74;3149.37
432;Cormoret;495.0;241;7;15;;3492.61;3377.79;3258.06;3470.03;3099.05;3116.24;3227.60;3145.43;3358.45;3261.32
433;Cortébert;697.0;241;7;15;;2930.49;2953.98;3253.60;3262.30;2850.48;2964.15;3101.52;2986.74;3066.45;3224.16
690;Court;1390.0;241;15;18;;2750.78;2736.67;2690.27;2734.25;2520.22;2469.24;2894.98;2826.13;2758.96;2785.01
434;Courtelary;1283.0;241;7;18;;3759.22;3582.64;3417.00;3671.10;3390.67;3574.34;3578.65;3561.64;3643.81;3716.59
691;Crémines;550.0;241;15;18;;2566.36;2676.72;2600.59;2886.10;3349.26;3157.55;3405.58;3197.31;3117.33;3370.40
535;Deisswil b.M.;97.0;246;9;15;;2150.25;2175.64;2480.80;2326.45;2458.79;2549.83;2615.37;2779.20;2867.56;2925.35
536;Diemerswil;199.0;246;9;11;351;2400.35;2490.97;2596.03;2736.82;2475.27;2383.94;2781.23;2786.68;2805.42;2958.96
762;Diemtigen;2140.0;249;17;21;;2309.55;2329.14;2342.51;2349.27;2415.75;2480.27;2553.97;2466.79;3066.94;3195.77
385;Diessbach b.B.;923.0;243;5;15;;3331.14;3240.10;3317.90;3268.66;3164.23;3170.19;3531.50;3601.94;3419.69;3299.26
721;Diesse;443.0;241;13;17;;4241.23;4049.53;3792.20;3817.96;3746.55;4119.33;4011.41;4072.11;3863.21;3802.27
386;Dotzigen;1358.0;243;5;15;;3025.69;3004.20;3075.54;2669.20;2697.80;2644.00;2761.90;2832.18;2737.97;2766.95
575;Därligen;416.0;250;11;15;;2923.64;2683.52;3125.93;2861.14;3101.65;3255.38;3257.00;3092.61;3094.01;3274.67
761;Därstetten;833.0;249;17;19;;2485.28;2846.69;2758.02;2587.03;2613.96;2557.36;2836.62;2715.07;2796.61;2782.07
952;Dürrenroth;1064.0;245;25;21;;3590.70;3638.66;3876.72;3978.46;2899.83;3026.50;3057.30;3005.85;3196.40;3191.90
901;Eggiwil;2453.0;245;23;21;;3107.31;3320.12;3124.49;3272.90;3227.41;3180.12;3410.16;3600.44;3632.92;3778.81
864;Englisberg;0.0;246;22;8;;2305.01;2579.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;2796.28;2784.24;2818.18;2633.18;2589.28;2587.14;2621.65;2621.35;2649.50;2526.74
953;Eriswil;1347.0;244;25;19;;4191.72;4408.86;4707.01;4888.66;4920.02;3239.37;3785.35;3929.38;3727.44;4260.35
924;Eriz;496.0;247;24;21;;3151.79;2690.41;2658.17;2984.72;2901.35;2826.88;3129.41;3268.35;3184.53;2927.01
492;Erlach;1278.0;243;8;17;;4779.23;4853.23;4808.97;9489.90;9734.46;9749.14;10609.30;9646.39;9631.89;9483.09
763;Erlenbach i.S.;1695.0;249;17;20;;2616.87;2732.89;2591.60;2727.54;2715.86;2838.78;2748.88;2687.03;2701.20;2715.39
405;Ersigen;1589.0;245;6;19;;2474.99;2514.75;2532.75;2518.11;2627.18;2621.70;2736.64;2707.71;2745.07;2800.45
692;Eschert;377.0;241;15;19;;2662.27;2403.52;2360.03;2593.15;2383.57;2687.09;2768.80;2968.43;2819.74;2791.84
537;Etzelkofen;289.0;246;9;18;;2320.08;2605.15;2654.37;2777.17;3017.61;3099.94;3068.20;3302.56;3275.84;3450.31
372;Evilard;2424.0;242;4;5;371;3629.77;3369.82;3302.29;3324.66;3204.94;3578.11;3791.83;3992.47;4020.02;4135.43
925;Fahrni;741.0;247;24;20;;2477.34;2461.85;2423.52;2507.63;2440.53;2587.21;2636.57;2558.33;2549.46;2496.40
975;Farnern;209.0;244;26;15;;2474.86;2715.00;2780.01;2716.39;2739.35;3165.71;3268.86;3281.11;3186.91;3199.54
662;Ferenbalm;1270.0;246;14;15;;2194.98;2235.88;2195.56;2406.86;2284.88;2478.32;2648.38;2374.52;2461.30;2585.26
493;Finsterhennen;501.0;243;8;20;;2906.87;2758.01;2780.69;2824.88;2850.08;2785.42;3105.43;3025.47;3080.37;3209.21
926;Forst;0.0;247;24;15;;2367.11;2539.06;2579.43;2339.40;2570.41;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;2521.25;2837.41;2722.68;2566.06;2645.30
538;Fraubrunnen;1791.0;246;9;11;351;3223.86;3059.51;2778.18;2844.41;2850.27;2965.66;3087.13;3072.90;3121.93;3136.76
663;Frauenkappelen;1256.0;246;14;11;351;2758.80;2716.58;2965.33;2935.76;3198.70;3146.65;3142.25;3020.02;3049.45;3134.83
607;Freimettigen;424.0;246;12;15;;2446.88;2466.49;2378.26;2495.86;2472.36;2627.08;2573.89;2495.49;2616.91;2683.07
563;Frutigen;6703.0;249;10;4;;2767.72;2746.42;2837.07;3119.25;3167.74;3170.08;3389.19;3515.29;3797.69;3594.57
781;Gadmen;229.0;250;18;22;;4526.90;3968.09;4562.81;4838.81;4587.54;4603.87;4941.27;4946.16;5465.58;5519.84
494;Gals;729.0;243;8;20;;2850.38;3249.56;3067.86;2856.73;2697.07;3182.24;3044.09;2998.78;3087.65;3301.39
495;Gampelen;791.0;243;8;17;;3241.97;3218.44;3378.04;3199.62;3190.89;2919.32;3147.99;3046.00;3185.78;3017.33
865;Gelterfingen;242.0;246;22;21;;2570.76;2740.32;2199.85;2271.49;2438.60;2625.39;2559.60;2274.76;2473.68;2280.12
866;Gerzensee;1134.0;246;22;20;;3029.76;3178.80;3013.96;3135.66;3153.46;3139.28;3232.68;3167.49;3168.14;3136.57
664;Golaten;303.0;246;14;21;;2665.60;2890.52;2863.45;3169.56;3098.59;2961.58;3503.16;3144.46;2958.15;3402.02
326;Gondiswil;724.0;244;2;19;;3170.38;3307.76;3472.99;3759.19;3286.06;3060.90;2981.37;2928.11;3124.67;3317.19
976;Graben;291.0;244;26;15;;2368.43;2363.19;2319.72;2450.91;2610.01;2814.79;3472.26;2727.49;2442.90;2652.59
539;Grafenried;976.0;246;9;11;351;2501.39;2600.88;2541.24;2668.81;2755.20;2734.02;2798.01;2664.07;2684.07;2655.74
694;Grandval;351.0;241;15;18;;2609.35;2540.15;2690.06;2844.03;2732.11;2999.69;3086.45;2959.90;2894.02;2916.69
576;Grindelwald;4040.0;250;11;6;;3857.53;3757.98;4042.89;4141.71;4234.73;4381.83;4505.84;4258.12;4278.57;4112.85
303;Grossaffoltern;2812.0;243;1;15;;2604.30;2608.40;2608.62;2544.06;2469.96;2544.01;2636.76;2593.49;2633.78;2663.99
608;Grosshöchstetten;3289.0;246;12;11;351;3581.90;3507.24;3621.41;3195.27;3395.19;3366.28;4193.68;3541.30;3751.47;3804.66
841;Gsteig;986.0;248;20;20;;2907.55;2985.28;3127.78;3114.49;3138.50;3142.96;3334.21;3200.67;3225.26;3312.89
577;Gsteigwiler;430.0;250;11;14;;3380.61;3126.19;3184.53;3104.08;3169.18;3062.87;2894.61;2885.85;2893.58;2950.10
852;Guggisberg;1585.0;246;21;21;;3114.02;3102.38;3121.40;3266.31;3309.11;3329.84;3437.65;3401.68;3552.81;3411.87
665;Gurbrü;245.0;246;14;21;;2464.68;2324.23;2497.81;2535.12;2431.00;2625.56;2840.19;2728.48;2911.68;3278.77
