K37 NPEWZ NettoA pro Einwohner Wehrdienst + Zivilschutz;;;;;;;;;
Kurzbeschrieb: Nettoaufwand Wehrdienst und Zivilschutz (Funktion 140, 160) dividiert durch
die Einwohnerzahl.



BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
325;Busswil b.M.;201.0;244;2;20;;1.27;0.54;0.00;0.00;0.00;0.00;-0.05;30.52;0.00;14.28
403;Bäriswil;1005.0;246;6;11;351;-6.74;14.39;15.05;6.68;10.60;17.73;7.47;6.64;0.14;7.51
533;Bätterkinden;3171.0;245;9;15;;-1.18;-4.21;-12.81;2.42;-12.44;-5.62;-5.66;0.00;0.00;0.00
682;Bévilard;1681.0;241;15;18;;18.97;21.53;22.82;14.88;10.77;10.89;17.13;13.93;9.24;15.94
572;Bönigen;2447.0;250;11;7;;9.96;-44.02;0.00;-55.83;12.85;13.00;13.77;12.36;55.05;13.05
382;Büetigen;827.0;243;5;15;;16.34;15.72;16.45;8.97;18.74;25.18;16.03;16.83;15.10;16.29
734;Bühl;419.0;243;16;16;;63.13;62.05;70.17;36.34;22.36;22.52;18.17;19.37;21.88;25.10
383;Büren a.A.;3295.0;243;5;17;;57.45;-19.09;50.44;21.01;17.56;5.08;9.68;9.53;16.69;9.48
534;Büren z.H.;468.0;246;9;15;;27.75;16.72;21.65;3.83;15.87;17.47;16.16;18.86;7.44;15.97
683;Champoz;162.0;241;15;21;;-151.09;-6.92;-49.28;-15.19;159.70;16.39;39.71;58.13;102.66;28.20
684;Châtelat;113.0;241;15;21;;25.75;11.83;58.02;35.50;28.54;18.43;19.20;19.72;47.70;-8.79
661;Clavaleyres;49.0;246;14;21;;4.48;9.99;21.56;-0.02;-3.98;7.66;8.20;8.84;10.73;5.60
687;Corcelles;214.0;241;15;15;;89.94;83.54;92.32;67.75;68.17;47.64;72.31;39.65;31.76;27.08
431;Corgémont;1551.0;241;7;18;;16.68;9.88;7.35;9.20;7.92;6.03;9.85;7.32;12.01;6.74
432;Cormoret;495.0;241;7;15;;14.75;12.13;7.78;9.81;6.79;9.42;11.65;7.21;7.15;6.50
433;Cortébert;697.0;241;7;15;;8.09;12.49;7.49;10.21;11.26;12.43;10.85;6.02;6.20;10.12
690;Court;1390.0;241;15;18;;4.46;6.14;5.79;5.84;4.46;3.96;4.47;48.83;7.29;4.87
434;Courtelary;1283.0;241;7;18;;15.05;8.67;6.91;13.14;7.71;6.50;7.85;6.21;6.87;5.39
691;Crémines;550.0;241;15;18;;12.33;17.31;19.42;17.64;17.79;13.75;53.41;10.48;9.38;16.88
535;Deisswil b.M.;97.0;246;9;15;;0.41;-4.28;93.03;-25.49;-22.31;0.11;0.00;0.00;0.00;41.36
536;Diemerswil;199.0;246;9;11;351;-16.87;8.97;8.33;8.25;14.89;0.00;18.66;29.55;16.71;19.48
762;Diemtigen;2140.0;249;17;21;;27.28;35.71;28.24;23.99;38.31;42.90;18.14;29.30;43.02;13.56
385;Diessbach b.B.;923.0;243;5;15;;15.01;15.46;112.63;10.99;13.52;40.73;7.79;16.35;12.48;13.88
721;Diesse;443.0;241;13;17;;22.53;23.36;18.37;12.25;10.70;8.48;10.64;7.04;5.38;14.80
386;Dotzigen;1358.0;243;5;15;;-11.09;13.91;8.45;10.07;13.59;20.51;15.46;17.84;15.78;15.06
575;Därligen;416.0;250;11;15;;-7.01;13.49;13.72;14.12;-10.56;36.69;15.01;12.26;14.18;14.50
761;Därstetten;833.0;249;17;19;;9.20;23.13;41.21;23.68;30.27;26.00;33.55;32.64;37.21;18.57
952;Dürrenroth;1064.0;245;25;21;;13.45;12.92;24.93;20.43;142.00;26.55;15.87;23.57;18.26;18.74
901;Eggiwil;2453.0;245;23;21;;5.61;-76.83;8.06;18.25;24.50;25.63;26.16;20.15;26.42;10.11
864;Englisberg;0.0;246;22;8;;13.62;18.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;18.40;18.58;42.31;21.50;12.77;12.40;9.40;9.17;17.46;12.83
953;Eriswil;1347.0;244;25;19;;11.54;30.22;14.52;21.04;16.73;19.00;17.68;12.69;12.01;15.30
924;Eriz;496.0;247;24;21;;20.08;23.86;2.75;10.74;39.47;22.73;18.49;21.04;22.79;20.79
492;Erlach;1278.0;243;8;17;;60.52;44.59;82.56;18.88;25.94;15.56;27.48;21.88;93.93;13.85
763;Erlenbach i.S.;1695.0;249;17;20;;2.64;1.77;-11.02;21.59;4.20;14.45;5.24;25.86;-2.02;10.29
405;Ersigen;1589.0;245;6;19;;0.00;6.13;0.00;0.00;12.16;0.00;14.06;0.02;0.00;0.00
692;Eschert;377.0;241;15;19;;13.17;40.94;44.14;23.10;1.47;17.39;19.83;6.02;-1.37;3.22
537;Etzelkofen;289.0;246;9;18;;18.94;17.99;22.57;1.52;19.37;17.16;16.30;0.00;0.00;0.00
372;Evilard;2424.0;242;4;5;371;8.96;0.93;22.11;9.38;2.82;9.71;0.00;0.00;0.00;8.25
925;Fahrni;741.0;247;24;20;;12.09;26.03;21.75;-43.32;22.69;18.47;19.02;21.87;23.34;18.77
975;Farnern;209.0;244;26;15;;4.70;1.65;23.07;65.74;11.08;47.54;50.60;27.82;33.34;38.32
662;Ferenbalm;1270.0;246;14;15;;-55.79;-23.05;-30.46;-6.20;-3.34;9.04;-9.71;2.58;2.61;1.29
493;Finsterhennen;501.0;243;8;20;;12.31;17.30;18.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
926;Forst;0.0;247;24;15;;7.94;9.24;11.24;-32.28;0.00;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;13.93;6.06;-5.43;0.00;-5.68
538;Fraubrunnen;1791.0;246;9;11;351;0.00;0.00;0.00;-1.75;0.00;0.00;-81.89;0.20;0.20;-1.39
663;Frauenkappelen;1256.0;246;14;11;351;7.39;7.34;16.92;13.69;12.47;-12.91;13.00;37.11;13.92;-11.29
607;Freimettigen;424.0;246;12;15;;33.78;25.83;-64.01;13.35;18.53;21.28;21.20;16.07;18.86;25.12
563;Frutigen;6703.0;249;10;4;;12.08;16.78;16.15;12.45;16.65;23.32;15.90;16.39;16.17;5.36
781;Gadmen;229.0;250;18;22;;12.11;56.89;79.33;72.08;95.42;155.72;87.16;144.61;142.01;221.12
494;Gals;729.0;243;8;20;;10.09;13.77;15.73;13.06;13.05;15.33;17.21;24.30;15.87;17.79
495;Gampelen;791.0;243;8;17;;31.29;41.25;52.02;18.35;27.02;11.74;14.88;11.37;26.88;-6.27
865;Gelterfingen;242.0;246;22;21;;73.71;4.52;19.65;16.45;16.06;25.83;11.82;16.23;16.59;16.71
866;Gerzensee;1134.0;246;22;20;;1.06;6.87;-8.59;5.69;-0.11;-4.18;0.38;1.07;-3.41;0.79
664;Golaten;303.0;246;14;21;;14.99;11.64;8.12;8.32;29.48;-6.91;0.03;0.00;2.24;1.49
326;Gondiswil;724.0;244;2;19;;16.30;35.47;28.92;29.91;19.86;17.79;13.72;23.81;14.98;15.73
976;Graben;291.0;244;26;15;;12.73;14.74;6.61;13.33;14.44;16.88;16.05;19.32;15.88;8.07
539;Grafenried;976.0;246;9;11;351;9.06;0.00;0.00;-0.14;0.00;0.00;0.00;0.00;0.00;-2.31
694;Grandval;351.0;241;15;18;;-5.20;24.59;18.15;-3.89;15.12;55.50;55.92;15.71;-8.95;-4.17
