K30 EBPS EK / BF pro Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
403;Bäriswil;1005.0;246;6;11;351;4.04;5.91;8.02;9.01;8.88;9.04;8.45;9.96;8.77;9.05
533;Bätterkinden;3171.0;245;9;15;;16.53;14.91;14.20;14.92;16.52;14.27;13.44;14.57;13.76;17.44
682;Bévilard;1681.0;241;15;18;;3.22;2.81;2.59;2.49;4.70;6.72;6.13;3.70;2.30;4.13
572;Bönigen;2447.0;250;11;7;;20.02;18.50;17.36;18.72;16.34;15.76;14.57;14.34;14.73;13.03
382;Büetigen;827.0;243;5;15;;21.09;23.65;17.06;11.92;12.34;11.65;10.46;10.21;11.37;11.00
734;Bühl;419.0;243;16;16;;3.22;6.68;12.63;11.78;11.41;11.28;9.59;11.86;11.32;11.65
383;Büren a.A.;3295.0;243;5;17;;17.20;16.12;16.87;15.35;22.24;24.17;19.18;20.34;20.63;20.73
534;Büren z.H.;468.0;246;9;15;;27.97;21.97;17.47;12.27;12.13;10.55;7.45;9.77;8.67;9.23
683;Champoz;162.0;241;15;21;;233.26;380.37;170.09;215.24;201.43;161.40;177.24;165.07;158.09;164.19
684;Châtelat;113.0;241;15;21;;182.03;233.58;240.43;254.46;167.79;184.10;189.58;173.82;258.80;186.74
661;Clavaleyres;49.0;246;14;21;;74.97;70.11;107.40;144.83;94.28;114.55;97.68;114.98;96.61;127.23
687;Corcelles;214.0;241;15;15;;53.92;47.59;45.92;43.93;17.72;20.18;18.15;23.21;31.29;30.39
431;Corgémont;1551.0;241;7;18;;14.12;14.98;15.56;15.81;15.69;16.33;15.38;21.33;26.79;16.51
432;Cormoret;495.0;241;7;15;;2.95;2.62;1.24;2.18;3.99;8.35;12.57;16.36;18.07;21.71
433;Cortébert;697.0;241;7;15;;1.06;3.17;4.17;4.13;5.44;9.38;13.24;16.93;17.80;19.19
690;Court;1390.0;241;15;18;;1.90;1.44;1.76;2.23;4.67;8.53;10.95;13.67;16.12;17.40
434;Courtelary;1283.0;241;7;18;;5.86;7.71;5.41;2.48;2.20;1.75;6.19;10.70;10.66;9.35
691;Crémines;550.0;241;15;18;;65.93;58.21;51.34;48.30;32.45;35.28;29.11;30.28;34.29;26.56
535;Deisswil b.M.;97.0;246;9;15;;66.79;99.55;78.57;55.77;50.91;52.43;40.53;34.24;18.56;216.83
536;Diemerswil;199.0;246;9;11;351;15.88;14.83;15.24;13.89;16.04;14.21;16.07;17.20;14.46;19.23
762;Diemtigen;2140.0;249;17;21;;2.99;4.50;4.53;4.43;1.24;2.75;4.72;8.31;10.65;10.89
385;Diessbach b.B.;923.0;243;5;15;;1.26;-1.89;3.78;1.28;3.55;5.74;7.92;9.46;10.86;14.39
721;Diesse;443.0;241;13;17;;14.37;3.11;5.61;6.70;9.42;8.29;8.05;10.96;15.74;15.66
386;Dotzigen;1358.0;243;5;15;;6.69;5.86;8.66;7.63;10.51;13.76;13.80;15.28;17.77;19.57
575;Därligen;416.0;250;11;15;;21.15;13.56;19.91;13.45;8.15;4.51;1.26;1.96;5.13;9.91
761;Därstetten;833.0;249;17;19;;17.90;27.95;24.99;21.24;20.43;21.69;17.96;20.62;22.86;21.87
952;Dürrenroth;1064.0;245;25;21;;14.83;14.94;14.40;12.13;74.87;71.43;62.52;23.20;27.23;28.55
901;Eggiwil;2453.0;245;23;21;;5.63;6.20;10.38;10.57;11.42;12.10;12.70;14.25;14.69;17.76
